"id";"fci";"hund";"wamiz";"woopets";"chien";"hund_identifiant";"hund_id";"hund_name";"hund_weight";"hund_height";"hund_age";"woopets_identifiant";"woopets_nom";"woopets_type_de_poils";"woopets_pays";"woopets_gabarit";"woopets_forme_tete";"woopets_poids_fem";"woopets_taille_fem";"woopets_poids_mal";"woopets_taille_mal";"woopets_caractere";"woopets_comportementautres";"woopets_education";"woopets_conditionsvie";"woopets_sante";"woopets_entretien";"woopets_activite";"woopets_affectueux";"woopets_calme";"woopets_protecteur";"woopets_independant";"woopets_chasseur";"woopets_aboie_hurle";"woopets_cohabitation_avec_les_enfants";"woopets_sociable_avec_les_autres_animaux";"woopets_aime_les_etrangers";"woopets_intelligent";"woopets_obeissant";"woopets_adapte_a_la_vie_en_appartement";"woopets_bien_pour_les_nouveaux_maitres";"woopets_aime_le_chaud";"woopets_aime_le_froid";"woopets_solide";"woopets_facilite_a_prendre_du_poids";"woopets_facilite_d_entretien";"woopets_cout_de_l_entretien";"woopets_perte_de_poils";"woopets_niveau_de_bave";"woopets_facilite_a_toiletter";"woopets_sportif";"woopets_niveau_d_energie";"woopets_potentiel_a_jouer";"woopets_caractere_du_maitre";"wamiz_identifiant";"wamiz_id";"wamiz_nom";"wamiz_affectueux";"wamiz_facile_d_entretien";"wamiz_joueur";"wamiz_facile_a_eduquer";"wamiz_calme";"wamiz_gentil_avec_enfant";"wamiz_intelligent";"wamiz_entente_avec_animaux";"wamiz_docile";"wamiz_appartement";"wamiz_propre";"wamiz_premier_chien";"wamiz_robuste_sante";"wamiz_voyage";"wamiz_supporte_solitude";"wamiz_apte_a_la_garde";"wamiz_besoin_d_exercice";"wamiz_originalite";"wamiz_fugueur";"wamiz_budget";"chien_identifiant";"chien_id";"chien_photo";"chien_nom";"chien_standard";"chien_groupe";"chien_pays";"chien_affectueux";"chien_aime_les_enfants";"chien_calme";"chien_facile_a_eduquer";"chien_joueur";"chien_peut_rester_seul";"chien_protecteur";"chien_s_entend_avec_d_autres_animaux";"chien_sociable";"chien_a_peu_besoin_d_exercice";"chien_aboie_peu";"chien_bave_peu";"chien_mange_peu";"chien_necessite_peu_d_entretien";"chien_perd_peu_ses_poils";"chien_peu_couteux_a_toiletter";"chien_peu_enclin_a_l_obesite";"chien_sante_robuste";"chien_esperance_de_vie";"chien_poids_de_la_femelle";"chien_poids_du_male";"chien_taille_de_la_femelle";"chien_taille_du_male";"chien_avec_des_enfants";"chien_comme_premier_chien";"chien_en_appartement";"chien_pour_personne_peu_disponible";"chien_pour_personne_agee";"chien_pour_petit_budget";"chien_poids_min_femelle";"chien_poids_min_male";"chien_poids_max_femelle";"chien_poids_max_male";"chien_taille_min_femelle";"chien_taille_max_femelle";"chien_taille_min_male";"chien_taille_max_male";"chien_age";"chien_fci";"fci_identifiant";"fci_id";"fci_name_en";"fci_name_fr";"fci_name_de";"fci_name_es";"fci_date_en";"fci_date_fr";"fci_date_de";"fci_date_es";"fci_date_acceptance";"fci_groupe";"fci_section";"fci_provisional";"fci_status";"fci_country";"fci_url";"fci_image";"fci_pdf"
"353";"131";"131";NULL;NULL;"353";"122";"131";"chien courant de schiller";"22.5";"53.5";"13";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"415";"353";"schiller-stovare-353";"Chien Courant de Schiller";"Unknown";"Chien courant, Chien de recherche au sang et races apparentées";"Suède";"5";"4";"2";"4";"4";"3";"3";"4";"2";"3";"3";"3";"4";"2";"3";"5";"3";"5";"13 ans";"De 24 à 25 kilos";"De 24 à 25 kilos";"De 49 à 57 cm";"De 53 à 61 cm";"3.5";"3.5";"2";"2.5";"3";"4.5";"24";"24";"25";"25";"49";"57";"53";"61";"13";"0";"123";"131";"schillerstövare";"chien courant de schiller";"schillerstövare";"sabueso schiller";"02/10/2017";"25/09/2018";"25/09/2018";"12/08/2019";"0";"Groupe 6";"Section 6-1";"05/01/1955";"Reconnue à titre définitif";"suede";"http://www.fci.be/fr/nomenclature/CHIEN-COURANT-DE-SCHILLER-131.html";"http://www.fci.be/Nomenclature/Illustrations/131g06.jpg";"http://www.fci.be/Nomenclature/Standards/131g06-en.pdf"
"258";"132";"132";NULL;NULL;"258";"123";"132";"chien courant de hamilton";"25";"57";"12";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"165";"258";"chien-courant-hamilton-258";"Chien Courant de Hamilton";"Unknown";"Chien courant, Chien de recherche au sang et races apparentées";"Suède";"3";"5";"4";"4";"4";"4";"2";"2";"3";"1";"3";"4";"4";"4";"3";"3";"3";"4";"De 12 à 13 ans";"De 24 à 25 kilos";"De 24 à 25 kilos";"De 49 à 57 cm";"De 53 à 61 cm";"4";"4";"2";"3";"3";"3.5";"24";"24";"25";"25";"49";"57";"53";"61";"12.5";"0";"124";"132";"hamiltonstövare";"chien courant de hamilton";"hamiltonstövare";"sabueso hamilton";"02/10/2017";"25/09/2018";"25/09/2018";"16/09/2019";"0";"Groupe 6";"Section 6-1";"06/01/1955";"Reconnue à titre définitif";"suede";"http://www.fci.be/fr/nomenclature/CHIEN-COURANT-DE-HAMILTON-132.html";"http://www.fci.be/Nomenclature/Illustrations/132g06.jpg";"http://www.fci.be/Nomenclature/Standards/132g06-en.pdf"
"234";"133";"133";NULL;NULL;"234";"124";"133";"braque français - type gascogne";"30";"63.5";"13";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"123";"234";"braque-francais-type-gascogne-234";"Braque français type Gascogne";"Standard FCI N°133";"Chien d’arrêt";"France";"4";"5";"4";"5";"4";"2";"4";"5";"5";"1";"4";"5";"3";"2";"3";"5";"4";"5";"13 ans";"De 25 à 32 kilos";"De 25 à 35 kilos";"De 56 à 68 cm";"De 58 à 69 cm";"4";"4.5";"2.5";"2.5";"3";"4.5";"25";"25";"32";"35";"56";"68";"58";"69";"13";"133";"125";"133";"french pointing dog - gascogne type";"braque français - type gascogne";"französischer vorstehhund - typus gascogne";"braco francés - tipo gascuña";"07/08/1998";"07/08/1998";"07/08/1998";"07/08/1998";"0";"Groupe 7";"Section 7-1";"17/01/1955";"Reconnue à titre définitif";"france";"http://www.fci.be/fr/nomenclature/BRAQUE-FRANCAIS-TYPE-GASCOGNE-133.html";"http://www.fci.be/Nomenclature/Illustrations/STD-ANA-fr-.jpg";"http://www.fci.be/Nomenclature/Standards/133g07-en.pdf"
"235";"134";"134";NULL;NULL;"235";"125";"134";"braque français - type pyrénées";"21";"52.5";"13";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"124";"235";"braque-francais-type-pyrenees-235";"Braque français type Pyrénées";"Standard FCI N°134";"Chien d’arrêt";"France";"4";"5";"3";"4";"5";"2";"4";"3";"4";"1";"2";"3";"4";"4";"4";"5";"3";"3";"13 ans";"De 17 à 25 kilos";"De 17 à 25 kilos";"De 47 à 56 cm";"De 47 à 58 cm";"4.5";"4";"2";"2.5";"2.5";"4";"17";"17";"25";"25";"47";"56";"47";"58";"13";"134";"126";"134";"french pointing dog - pyrenean type";"braque français - type pyrenees";"französischer vorstehhund - typus pyrenäen";"braco francés - tipo pirineos";"07/08/1998";"07/08/1998";"07/08/1998";"07/08/1998";"0";"Groupe 7";"Section 7-1";"18/01/1955";"Reconnue à titre définitif";"france";"http://www.fci.be/fr/nomenclature/BRAQUE-FRANCAIS-TYPE-PYRENEES-134.html";"http://www.fci.be/Nomenclature/Illustrations/STD-ANA-fr-.jpg";"http://www.fci.be/Nomenclature/Standards/134g07-en.pdf"
"306";"135";"135";NULL;NULL;"306";"126";"135";"lapphund suédois";"17.5";"48";"13";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"211";"306";"chien-suedois-de-laponie-306";"Chien Suédois de Laponie";"Standard FCI N°135";"Chien de type Spitz et de type primitif";"Suède";"5";"5";"4";"4";"5";"2";"4";"5";"2";"1";"1";"5";"4";"2";"1";"3";"2";"4";"De 12 à 14 ans";"De 13 à 16 kilos";"De 16 à 20 kilos";"De 40 à 46 cm";"De 45 à 51 cm";"4";"3";"1.5";"2";"2.5";"3.5";"13";"16";"16";"20";"40";"46";"45";"51";"13";"135";"127";"135";"swedish lapphund";"lapphund suedois";"schwedischer lapphund";"perro sueco de laponia";"22/02/2012";"03/04/2012";"22/02/2012";"22/02/2012";"0";"Groupe 5";"Section 5-3";"19/01/1955";"Reconnue à titre définitif";"suede";"http://www.fci.be/fr/nomenclature/LAPPHUND-SUEDOIS-135.html";"http://www.fci.be/Nomenclature/Illustrations/135g05.jpg";"http://www.fci.be/Nomenclature/Standards/135g05-en.pdf"
"39";"136";"136";"95";"97";"39";"127";"136";"cavalier king charles spaniel";"6.5";"29.5";"12";"97";"Cavalier King Charles Spaniel";"Long";"Grande-Bretagne";"Petit";"Ronde";"De 5 kg à 8 kg";"De 32 cm à 36 cm";"De 5 kg à 8 kg";"De 32 cm à 36 cm";"2.5";"4.5";"3.5";"3.5";"4";"2.5";"3.5";"4";"4";"1";"2";"3";"3";"5";"5";"4";"4";"3";"4";"5";"2";"3";"3";"5";"2";"3";"0";"0";"0";"2";"3";"5";"Calme";"98";"95";"Cavalier King Charles Spaniel";"4";"3";"3";"4";"4";"4";"4";"4";"3";"4";"3";"4";"1";"3";"1";"1";"2";"1";"1";"3";"148";"39";"cavalier-king-charles-39";"Cavalier King Charles Spaniel";"Standard FCI N°136";"Chien d’agrément et de compagnie";"Royaume-Uni";"4";"5";"5";"4";"4";"1";"1";"5";"5";"3";"3";"5";"4";"2";"3";"4";"2";"2";"De 9 à 14 ans";"De 5 à 8 kilos";"De 5 à 8 kilos";"De 25 à 32 cm";"De 25 à 34 cm";"4";"3.5";"3";"2.5";"3";"3";"5";"5";"8";"8";"25";"32";"25";"34";"11.5";"136";"128";"136";"cavalier king charles spaniel";"cavalier king charles spaniel";"cavalier king charles spaniel";"cavalier king charles spaniel";"12/01/2009";"12/01/2009";"12/01/2009";"12/01/2009";"0";"Groupe 9";"Section 9-7";"20/01/1955";"Reconnue à titre définitif";"grande-bretagne";"http://www.fci.be/fr/nomenclature/CAVALIER-KING-CHARLES-SPANIEL-136.html";"http://www.fci.be/Nomenclature/Illustrations/136g09.jpg";"http://www.fci.be/Nomenclature/Standards/136g09-en.pdf"
"295";"137";"137";NULL;NULL;"295";"128";"137";"chien de montagne des pyrénées";"55";"75";"11";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"376";"295";"patou-chien-de-montagne-des-pyrenees-295";"Chien de Montagne des Pyrénées";"Standard FCI N°137";"Chien de type Pinscher ou Schnauzer - Molossoïde - Chien de montagne et de bouvier suisse";"France";"4";"4";"4";"2";"4";"3";"5";"4";"3";"2";"1";"4";"2";"2";"4";"4";"3";"2";"De 10 à 12 ans";"De 50 à 59 kilos";"De 56 à 64 kilos";"De 64 à 75 cm";"De 70 à 80 cm";"3.5";"2.5";"2";"2.5";"2.5";"3";"50";"56";"59";"64";"64";"75";"70";"80";"11";"137";"129";"137";"pyrenean mountain dog";"chien de montagne des pyrenees";"pyrenäen-berghund";"perro de montaña de los pirineos";"31/03/2005";"02/04/2001";"05/06/2002";"17/05/2002";"0";"Groupe 2";"Section 2-3";"25/01/1955";"Reconnue à titre définitif";"france";"http://www.fci.be/fr/nomenclature/CHIEN-DE-MONTAGNE-DES-PYRENEES-137.html";"http://www.fci.be/Nomenclature/Illustrations/137g02.jpg";"http://www.fci.be/Nomenclature/Standards/137g02-en.pdf"
"124";"138";"138";NULL;NULL;"124";"129";"138";"berger des pyrénées à face rase";"8";"47";"14";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"71";"124";"berger-des-pyrenees-a-face-rase-124";"Berger des Pyrénées à face rase";"Unknown";"Chien de berger et de bouvier";"France";"4";"4";"2";"2";"5";"2";"4";"3";"2";"2";"2";"5";"4";"3";"3";"3";"3";"4";"nan";"De 10 à 10 kilos";"De 10 à 10 kilos";"De 40 à 52 cm";"De 40 à 54 cm";"3.5";"3";"1.5";"2.5";"2.5";"3.5";"10";"10";"10";"10";"40";"52";"40";"54";"0";"0";"130";"138";"pyrenean sheepdog - smooth faced";"chien de berger des pyrenees a face rase";"pyrenaen-hutehund mit kurzhaarigem gesicht";"pastor de los pirineos de cara rasa";"15/04/2005";"02/04/2001";"06/02/2002";"17/05/2002";"0";"Groupe 1";"Section 1-1";"26/01/1955";"Reconnue à titre définitif";"france";"http://www.fci.be/fr/nomenclature/CHIEN-DE-BERGER-DES-PYRENEES-A-FACE-RASE-138.html";"http://www.fci.be/Nomenclature/Illustrations/138g01.jpg";"http://www.fci.be/Nomenclature/Standards/138g01-en.pdf"
"93";"139";"139";NULL;NULL;"93";"130";"139";"terrier irlandais";"12";"45";"14";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"458";"93";"terrier-irlandais-93";"Irish Terrier";"Standard FCI N°139";"Terrier";"Irlande";"5";"4";"4";"2";"4";"2";"4";"1";"2";"2";"2";"5";"4";"2";"4";"2";"3";"5";"De 12 à 16 ans";"11 kilos";"12 kilos";"De 45 à 46 cm";"De 46 à 48 cm";"3.5";"3";"2";"2.5";"3.5";"3.5";"0";"0";"0";"0";"45";"46";"46";"48";"14";"139";"131";"139";"irish terrier";"terrier irlandais";"irischer terrier";"terrier irlandés";"02/04/2001";"08/11/2002";"30/08/2002";"14/06/2002";"0";"Groupe 3";"Section 3-1";"28/01/1955";"Reconnue à titre définitif";"irlande";"http://www.fci.be/fr/nomenclature/TERRIER-IRLANDAIS-139.html";"http://www.fci.be/Nomenclature/Illustrations/STD-ANA-fr-.jpg";"http://www.fci.be/Nomenclature/Standards/139g03-en.pdf"
"130";"140";"140";"306";"62";"130";"131";"140";"boston terrier";"8";"40";"14";"62";"Boston Terrier";"Court";"Etats-Unis";"Petit";"Carrée";"De 7 kg à 10 kg";"De 25 cm à 40 cm";"De 7 kg à 11 kg";"De 25 cm à 40 cm";"2.5";"3.5";"3";"3";"3";"2.5";"4";"5";"1";"3";"1";"2";"3";"4";"3";"4";"3";"3";"3";"4";"2";"3";"4";"2";"1";"3";"2";"1";"5";"3";"4";"5";"Calme";"310";"306";"Terrier de Boston";"4";"4";"4";"3";"2";"4";"2";"3";"2";"4";"4";"3";"2";"4";"1";"3";"3";"2";"1";"3";"452";"130";"terrier-de-boston-130";"Boston Terrier";"Standard FCI N°140";"Chien d’agrément et de compagnie";"Etats-Unis";"4";"5";"1";"4";"3";"2";"1";"5";"5";"4";"4";"5";"4";"4";"3";"5";"3";"3";"13 ans";"De 7 à 10 kilos";"De 7 à 11 kilos";"De 25 à 40 cm";"De 25 à 40 cm";"4";"4";"2.5";"3";"3";"4";"7";"7";"10";"11";"25";"40";"25";"40";"13";"140";"132";"140";"boston terrier";"terrier de boston";"boston terrier";"boston terrier";"24/06/2014";"24/06/2014";"24/06/2014";"24/06/2014";"0";"Groupe 9";"Section 9-11";"29/01/1955";"Reconnue à titre définitif";"etats-unis";"http://www.fci.be/fr/nomenclature/TERRIER-DE-BOSTON-140.html";"http://www.fci.be/Nomenclature/Illustrations/STD-ANA-fr-.jpg";"http://www.fci.be/Nomenclature/Standards/140g09-en.pdf"
"286";"141";"141";NULL;NULL;"286";"132";"141";"berger des pyrénées à poil long";"8";"45";"15";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"72";"286";"berger-des-pyrenees-labrit-286";"Berger des Pyrénées";"Standard FCI N°138";"Chien de berger et de bouvier";"France";"4";"5";"2";"3";"5";"3";"2";"3";"3";"1";"2";"4";"4";"3";"4";"3";"2";"4";"13 ans";"De 10 à 10 kilos";"De 10 à 10 kilos";"De 40 à 52 cm";"De 40 à 54 cm";"4";"3.5";"1.5";"2.5";"2.5";"3.5";"10";"10";"10";"10";"40";"52";"40";"54";"13";"138";"133";"141";"long-haired pyrenean sheepdog";"chien de berger des pyrenees a poil long";"langhaariger pyrenaen-schaferhund";"perro pastor de los pirineos de pelo largo";"25/05/2009";"25/05/2009";"07/09/2011";"21/09/2009";"0";"Groupe 1";"Section 1-1";"28/01/1955";"Reconnue à titre définitif";"france";"http://www.fci.be/fr/nomenclature/CHIEN-DE-BERGER-DES-PYRENEES-A-POIL-LONG-141.html";"http://www.fci.be/Nomenclature/Illustrations/141g01.jpg";"http://www.fci.be/Nomenclature/Standards/141g01-en.pdf"
"364";"142";"142";NULL;NULL;"364";"133";"142";"tchouvatch slovaque";"37.5";"66";"12";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"86";"364";"berger-tchouvatch-slovaque-cuvac-364";"Tchouvatch Slovaque";"Standard FCI N°142";"Chien de berger et de bouvier";"Slovaquie";"4";"4";"4";"4";"2";"4";"5";"2";"5";"2";"4";"3";"1";"4";"3";"3";"2";"4";"12 ans";"De 30 à 45 kilos";"De 30 à 45 kilos";"De 60 à 70 cm";"De 60 à 70 cm";"4";"4.5";"2.5";"3.5";"3.5";"2.5";"30";"30";"45";"45";"60";"70";"60";"70";"12";"142";"134";"142";"slovakian chuvach";"tchouvatch slovaque";"slowakischer tschuvatsch";"tchuvatch eslovaco";"04/06/1996";"14/06/2018";"04/06/1996";"01/09/1997";"0";"Groupe 1";"Section 1-1";"09/11/1966";"Reconnue à titre définitif";"slovaquie";"http://www.fci.be/fr/nomenclature/TCHOUVATCH-SLOVAQUE-142.html";"http://www.fci.be/Nomenclature/Illustrations/STD-ANA-fr-.jpg";"http://www.fci.be/Nomenclature/Standards/142g01-en.pdf"
"55";"143";"143";"158";"125";"55";"134";"143";"dobermann";"42.5";"70";"11";"125";"Dobermann";"Court";"Allemagne";"Grand";"Longue";"De 32 kg à 35 kg";"De 63 cm à 68 cm";"De 40 kg à 45 kg";"De 68 cm à 72 cm";"2.5";"2.5";"2.5";"2.5";"2";"3.5";"4";"4";"3";"5";"2";"1";"2";"4";"2";"2";"4";"1";"2";"3";"4";"1";"2";"2";"2";"3";"4";"4";"4";"4";"3";"5";"Calme";"162";"158";"Dobermann";"4";"3";"4";"4";"3";"4";"4";"2";"1";"2";"4";"2";"2";"2";"2";"4";"4";"1";"2";"3";"237";"55";"dobermann-55";"Dobermann";"Standard FCI N°143";"Chien de type Pinscher ou Schnauzer - Molossoïde - Chien de montagne et de bouvier suisse";"Allemagne";"4";"4";"4";"4";"5";"2";"5";"3";"3";"2";"4";"2";"2";"5";"4";"5";"3";"2";"12 ans";"De 32 à 35 kilos";"De 40 à 45 kilos";"De 63 à 68 cm";"De 68 à 72 cm";"4";"3.5";"2.5";"3.5";"3";"3";"32";"40";"35";"45";"63";"68";"68";"72";"12";"143";"135";"143";"dobermann";"dobermann";"dobermann";"dobermann";"17/12/2015";"30/09/2016";"17/12/2015";"30/09/2016";"0";"Groupe 2";"Section 2-2";"01/01/1955";"Reconnue à titre définitif";"allemagne";"http://www.fci.be/fr/nomenclature/DOBERMANN-143.html";"http://www.fci.be/Nomenclature/Illustrations/143g02.jpg";"http://www.fci.be/Nomenclature/Standards/143g02-en.pdf"
"5";"144";"144";"63";"71";"5";"135";"144";"boxer";"31";"60";"11";"71";"Boxer";"Court";"Allemagne";"Grand";"Carrée";"De 25 kg à 30 kg";"De 53 cm à 59 cm";"De 30 kg à 35 kg";"De 57 cm à 63 cm";"3";"3.5";"4";"2.5";"1.5";"3.5";"4.5";"4";"1";"5";"2";"3";"3";"5";"3";"2";"5";"3";"3";"3";"1";"2";"2";"1";"2";"4";"4";"2";"4";"4";"5";"5";"Calme";"66";"63";"Boxer";"4";"1";"4";"4";"1";"4";"2";"3";"3";"3";"2";"4";"3";"3";"1";"4";"4";"2";"1";"2";"111";"5";"boxer-5";"Boxer";"Standard FCI N°144";"Chien de type Pinscher ou Schnauzer - Molossoïde - Chien de montagne et de bouvier suisse";"Allemagne";"4";"5";"1";"3";"5";"2";"5";"4";"3";"1";"3";"4";"3";"3";"3";"5";"2";"3";"De 9 à 13 ans";"De 22 à 28 kilos";"De 30 à 36 kilos";"De 53 à 59 cm";"De 57 à 63 cm";"4";"3";"1.5";"2";"2";"3.5";"22";"30";"28";"36";"53";"59";"57";"63";"11";"144";"136";"144";"boxer";"boxer";"deutscher boxer";"boxer";"09/07/2008";"09/07/2008";"09/07/2008";"22/09/2008";"0";"Groupe 2";"Section 2-3";"01/01/1955";"Reconnue à titre définitif";"allemagne";"http://www.fci.be/fr/nomenclature/BOXER-144.html";"http://www.fci.be/Nomenclature/Illustrations/144g02.jpg";"http://www.fci.be/Nomenclature/Standards/144g02-en.pdf"
"175";"145";"145";"227";"165";"175";"136";"145";"leonberg";"60";"76";"8";"165";"Leonberger";"Long";"Allemagne";"Géant";"Longue";"De 55 kg à 70 kg";"De 65 cm à 72 cm";"De 60 kg à 80 kg";"De 72 cm à 80 cm";"3.5";"3.5";"3";"2";"2";"4";"3.5";"4";"2";"4";"2";"4";"3";"4";"3";"0";"4";"2";"1";"1";"1";"5";"3";"1";"3";"5";"5";"3";"4";"2";"4";"4";"Calme";"230";"227";"Leonberger";"3";"3";"3";"3";"4";"4";"3";"3";"3";"3";"3";"3";"4";"1";"4";"4";"3";"2";"1";"3";"345";"175";"leonberger-leonberg-175";"Leonberg";"Unknown";"Chien de type Pinscher ou Schnauzer - Molossoïde - Chien de montagne et de bouvier suisse";"Allemagne";"5";"4";"2";"4";"4";"2";"3";"4";"5";"3";"3";"3";"1";"3";"2";"4";"2";"1";"De 11 à 12 ans";"De 58 à 75 kilos";"De 60 à 80 kilos";"De 65 à 75 cm";"De 72 à 80 cm";"4";"3.5";"2";"2.5";"2.5";"2";"58";"60";"75";"80";"65";"75";"72";"80";"11.5";"0";"137";"145";"leonberger";"chien de leonberg";"leonberger";"leonberger";"20/09/2002";"20/09/2002";"20/09/2002";"20/09/2002";"0";"Groupe 2";"Section 2-3";"17/02/1955";"Reconnue à titre définitif";"allemagne";"http://www.fci.be/fr/nomenclature/CHIEN-DE-LEONBERG-145.html";"http://www.fci.be/Nomenclature/Illustrations/STD-ANA-fr-.jpg";"http://www.fci.be/Nomenclature/Standards/145g02-en.pdf"
